KI7ODK-10 Pi RMS Status;2019-09-24 16:42:01.436502;21 minutes, 2 seconds;5.388164433729057;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 16:43:01.572904;22 minutes, 2 seconds;5.394164616840113;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 16:44:01.744395;23 minutes, 2 seconds;5.394164616840113;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 16:45:01.933146;24 minutes, 2 seconds;5.388164433729057;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 16:46:02.069143;25 minutes, 2 seconds;5.394164616840113;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 16:48:01.404597;27 minutes, 2 seconds;5.394164616840113;4.094124942777795

KI7ODK-10 Pi RMS Status;2019-09-24 16:49:01.564076;28 minutes, 2 seconds;5.388164433729057;4.094124942777795

KI7ODK-10 Pi RMS Status;2019-09-24 16:50:01.726736;29 minutes, 2 seconds;5.394164616840113;4.094124942777795

KI7ODK-10 Pi RMS Status;2019-09-24 16:55:01.514214;34 minutes, 2 seconds;5.40016479995117;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 18:00:02.971816;44 seconds;12.282374828333385;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 18:05:02.197913;2 minutes, 57 seconds;12.282374828333385;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 18:10:01.772484;7 minutes, 56 seconds;12.282374828333385;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 18:15:02.210061;12 minutes, 57 seconds;12.282374828333385;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 18:16:45.862732;1 minute, 16 seconds;12.282374828333385;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 18:20:02.111754;4 minutes, 33 seconds;12.282374828333385;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 18:25:01.875041;9 minutes, 32 seconds;12.282374828333385;4.094124942777795
KI7ODK-10 Pi RMS Status;2019-09-24 18:30:01.582088;14 minutes, 32 seconds;12.282374828333385;4.094124942777795
